Predictions
1,1
2,17
3,22
4,1
5,1
6,16
7,17
8,25
9,14
10,9
11,3
12,4
13,22
14,12
15,25
16,17
17,16
18,15
19,11
20,25
21,5
22,8
23,19
24,21
25,24
26,12
27,15
28,18
29,14
30,4
31,15
32,20
33,20
34,17
35,24
36,17
37,10
38,13
39,8
40,23
41,3
42,8
43,18
44,20
45,17
46,1
47,25
48,22
49,8
50,2
51,10
52,21
53,13
54,0
55,16
56,12
57,2
58,6
59,3
60,14
61,11
62,12
63,3
64,13
65,12
66,14
67,1
68,16
69,22
70,11
71,10
72,17
73,3
74,1
75,1
76,18
77,8
78,4
79,25
80,14
81,1
82,12
83,5
84,25
85,7
86,12
87,17
88,18
89,3
90,12
91,19
92,0
93,23
94,5
95,25
96,12
97,2
98,12
99,21
100,25
101,16
102,16
103,12
104,13
105,7
106,15
107,12
108,9
109,0
110,13
111,5
112,1
113,11
114,14
115,22
116,21
117,10
118,15
119,18
120,10
121,0
122,15
123,11
124,17
125,17
126,11
127,14
128,7
129,25
130,22
131,12
132,16
133,17
134,5
135,12
136,8
137,22
138,10
139,23
140,12
141,0
142,8
143,1
144,1
145,3
146,6
147,6
148,1
149,3
150,6
151,22
152,1
153,12
154,15
155,5
156,9
157,4
158,8
159,14
160,22
161,13
162,25
163,0
164,0
165,12
166,16
167,4
168,11
169,13
170,1
171,15
172,22
173,6
174,25
175,16
176,15
177,14
178,19
179,3
180,6
181,3
182,1
183,4
184,12
185,24
186,12
187,11
188,22
189,18
190,12
191,12
192,15
193,22
194,15
195,9
196,22
197,14
198,10
199,12
200,1
201,8
202,1
203,1
204,0
205,7
206,1
207,9
208,2
209,16
210,12
211,15
212,12
213,10
214,16
215,11
216,6
217,8
218,9
219,16
220,24
221,0
222,19
223,2
224,13
225,12
226,1
227,12
228,19
229,12
230,14
231,3
232,11
233,24
234,10
235,21
236,24
237,2
238,8
239,5

Confusion Matrix
5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9

Precision by class
0.555556
0.400000
1.000000
0.727273
0.833333
0.714286
1.000000
1.000000
0.818182
1.000000
0.777778
1.000000
0.148148
0.750000
0.636364
0.750000
0.583333
0.545455
1.000000
0.800000
1.000000
0.800000
0.615385
1.000000
1.000000
0.818182

Recall by class
0.500000
0.888889
0.600000
1.000000
0.625000
0.625000
0.700000
0.444444
0.900000
0.600000
0.700000
1.000000
0.400000
0.600000
0.700000
0.900000
0.700000
0.600000
0.666667
0.500000
0.375000
0.500000
0.888889
0.375000
0.750000
1.000000

F1 by class
0.526316
0.551724
0.750000
0.842105
0.714286
0.666667
0.823529
0.615385
0.857143
0.750000
0.736842
1.000000
0.216216
0.666667
0.666667
0.818182
0.636364
0.571429
0.800000
0.615385
0.545455
0.615385
0.727273
0.545455
0.857143
0.900000

Accuracy
0.6778242677824268

Macro F1 Average
0.6929082324110697

Weighted F1 Average
0.6935481225959281
